CODIGO,ASIGNATURA,GRUPO,HORA1,HORA2,HORA3,HORA4,HORA5
29611AB,PLD,A,202,203,,,
29611AB,PLD,A1,305,306,,,
29611AC,RI,A,402,403,,,
29611AC,RI,A1,404,405,,,
29611AF,CRIP,A,204,205,,,
29611AF,CRIP,A1,303,304,,,
29611BC,PPR,A,303,304,,,
29611BC,PPR,A1,204,205,,,
29611BD,NTP,A,202,203,,,
29611BD,NTP,A1,305,306,,,
29611BE,AO,A,402,403,,,
29611BE,AO,A1,404,405,,,
29611CC,CII,A,305,306,,,
29611CC,CII,A1,303,304,,,
29611CF,MEI,A,404,405,,,
29611CF,MEI,A1,402,403,,,
29611DB,PDIH,A,202,203,,,
29611DB,PDIH,A1,402,403,,,
29611DD,SCGC,A,305,306,,,
29611DD,SCGC,A1,303,304,,,
29611FB,PDS,A,202,203,,,
29611FB,PDS,A1,204,205,,,
29611FD,PDM,A,305,306,,,
29611FD,PDM,A1,303,304,,,
29611FE,RMS,A,404,405,,,
29611FE,RMS,A1,402,403,,,
2971113,FS(M),A,210,211,,,
2971113,FS(M),A1,208,209,,,
2971113,FS(M),A2,110,111,,,
297111A,MP(M),A,108,109,,,
297111A,MP(M),A1,110,111,,,
297111A,MP(M),A2,208,209,,,
2971116,LMD(M),A,301,503,504,,
2971116,LMD(M),A1,304,,,,
2971116,LMD(M),A2,506,,,,
2971127,ALG(M),A,401,501,502,,
2971127,ALG(M),A1,305,,,,
2971127,ALG(M),A2,505,,,,
2971129,AC(M),A,402,403,,,
2971129,AC(M),A1,404,405,,,
2971129,AC(M),A2,304,305,,,
297112C,PDOO(M),A,302,303,,,
297112C,PDOO(M),A1,505,506,,,
297112C,PDOO(M),A2,404,405,,,
2971132,FIS(MA),A,408,409,,,
2971132,FIS(MA),A1,311,312,,,
2971132,FIS(MA),A2,412,413,,,
2971132,FIS(MA),A3,410,411,,,
2971139,ISE(MA),A,508,509,,,
2971139,ISE(MA),A1,410,411,,,
2971139,ISE(MA),A2,512,513,,,
2971139,ISE(MA),A3,412,413,,,
297113A,IA(MA),A,510,511,,,
297113A,IA(MA),A1,412,413,,,
297113A,IA(MA),A2,410,411,,,
297113A,IA(MA),A3,512,513,,,
2971151,IES(M),A,412,,,,
2971151,IES(M),A1,413,,,,
216111B,MP(A),A,401,501,,,
216111B,MP(A),A1,505,506,,,
216111B,MP(A),A2,405,406,,,
216111C,FS(A),A,402,504,,,
216111C,FS(A),A1,404,405,,,
216111C,FS(A),A2,505,506,,,
216111D,ALEM(A),A,403,502,503,,
216111D,ALEM(A),A1,406,,,,
216111D,ALEM(A),A2,404,,,,
216112B,LMD(A),A,302,303,403,,
216112B,LMD(A),A1,405,,,,
216112B,LMD(A),A2,502,,,,
216112C,ALG(A),A,304,305,402,,
216112C,ALG(A),A1,404,,,,
216112C,ALG(A),A2,503,,,,
216112D,AC(A),A,504,505,,,
216112D,AC(A),A1,502,503,,,
216112D,AC(A),A2,404,405,,,
216113D,FBD(A),A,310,,,,
216113D,FBD(A),A1,308,309,512,,
2211116,EDCN,A,104,202,203,,
2211116,EDCN,A1,103,,,,
2211116,EDCN,A2,102,,,,
2211116,EDCN,A3,506,,,,
2211116,EDCN,B,408,508,509,,
2211116,EDCN,B1,512,,,,
2211116,EDCN,B2,511,,,,
2211117,EO,A,105,304,305,,
2211117,EO,A1,102,,,,
2211117,EO,A2,103,,,,
2211117,EO,A3,503,,,,
2211117,EO,B,108,109,510,,
2211117,EO,B1,511,,,,
2211117,EO,B2,512,,,,
2211118,CCE,A,504,505,,,
2211118,CCE,A1,301,302,303,,
2211118,CCE,A2,501,502,503,,
2211118,CCE,A3,401,402,403,,
2211118,CCE,B,308,309,,,
2211118,CCE,B1,310,311,312,,
2211118,CCE,B2,111,112,113,,
2211119,SL,A,204,205,,,
2211119,SL,A1,502,503,,,
2211119,SL,A2,402,403,,,
2211119,SL,A3,302,303,,,
2211119,SL,B,409,410,,,
2211119,SL,B1,210,211,,,
2211119,SL,B2,310,311,,,
2211119,SL,B3,411,412,,,
221111A,FFI,A,306,404,405,,
221111A,FFI,A1,402,403,,,
221111A,FFI,A2,302,303,,,
221111A,FFI,A3,102,103,,,
221111A,FFI,B,110,208,209,,
221111A,FFI,B1,111,112,,,
221111A,FFI,B2,411,412,,,
221111A,FFI,B3,210,211,,,
2211126,C1,A,104,105,,,
2211126,C1,A1,404,405,,,
2211126,C1,A2,304,305,,,
2211126,C1,A3,504,505,,,
2211126,C1,B,410,411,,,
2211126,C1,B1,508,509,,,
2211126,C1,B2,308,309,,,
2211127,SD,A,302,303,,,
2211127,SD,A1,304,305,,,
2211127,SD,A2,504,505,,,
2211127,SD,A3,102,103,,,
2211127,SD,B,510,511,,,
2211127,SD,B1,408,409,,,
2211127,SD,B2,508,509,,,
2211128,ED ,A,402,403,,,
2211128,ED ,A1,504,505,,,
2211128,ED ,A2,404,405,,,
2211128,ED ,B,310,311,,,
2211128,ED ,B1,308,309,,,
2211128,ED ,B2,108,109,,,
2211129,EA,A,502,503,,,
2211129,EA,A1,102,103,,,
2211129,EA,A2,204,205,,,
2211129,EA,A3,404,405,,,
2211129,EA,B,210,211,,,
2211129,EA,B1,208,209,,,
2211129,EA,B2,408,409,,,
221112A,IRC,A,202,203,,,
221112A,IRC,A1,204,205,,,
221112A,IRC,A2,102,103,,,
221112A,IRC,A3,304,305,,,
221112A,IRC,B,110,111,,,
221112A,IRC,B1,108,109,,,
221112A,IRC,B2,208,209,,,
2211136,TDS,A,204,205,,,
2211136,TDS,A1,402,403,,,
2211136,TDS,A2,304,305,,,
2211137,SCA,A,302,303,,,
2211137,SCA,A1,102,103,,,
2211137,SCA,A2,201,202,,,
2211138,MCO,A,104,105,203,,
2211138,MCO,A1,504,505,,,
2211138,MCO,A2,504,505,,,
2211139,AP,A,404,405,,,
2211139,AP,A1,304,305,,,
2211139,AP,A2,402,403,,,
221113A,SR,A,502,503,,,
221113A,SR,A1,201,202,,,
221113A,SR,A2,102,103,,,
221113B,DAR,A,104,105,,,
221113B,DAR,A1,102,103,,,
221113B,DAR,A2,202,203,,,
221113C,SRC,A,404,405,,,
221113C,SRC,A1,202,203,,,
221113C,SRC,A2,302,303,,,
221113D,CP,A,304,305,,,
221113D,CP,A1,402,403,,,
221113D,CP,A2,502,503,,,
221113E,RIM,A,504,505,,,
221113E,RIM,A1,502,503,,,
221113E,RIM,A2,102,103,,,
221113F,GR,A,204,205,,,
221113F,GR,A1,302,303,,,
221113F,GR,A2,402,403,,,
221113G,CERF,A,502,503,,,
221113G,CERF,A1,504,505,506,,
221113H,EM,A,304,305,,,
221113H,EM,A1,104,105,,,
221113H,EM,A2,302,303,,,
221113I,IE,A,404,405,,,
221113I,IE,A1,402,403,,,
221113J,DCSE,A,102,103,,,
221113J,DCSE,A1,302,303,,,
221113J,DCSE,A2,104,105,,,
221113K,SAL,A,202,203,,,
221113K,SAL,A1,204,205,206,,
22111A2,FAT,A,504,505,,,
22111A2,FAT,A1,502,503,,,
22111A3,CAM,A,104,105,,,
22111A3,CAM,A1,102,103,,,
22111AB,PVD,A,404,405,,,
22111AB,PVD,A1,202,203,,,
22111BB,PSETR,A,204,305,,,
22111BB,PSETR,A1,302,303,,,
22111BB,PSETR,A2,402,403,,,
22111CB,AET,A,205,304,,,
22111CB,AET,A1,402,403,,,
