CODIGO,ASIGNATURA,GRUPO,HORA1,HORA2,HORA3,HORA4,HORA5
2961135,ISE,A3,310,311,,,
2961135,ISE,B,110,111,,,
2961135,ISE,B1,208,209,,,
2961135,ISE,B2,508,509,,,
2961135,ISE,B3,409,410,,,
2961135,ISE,C,310,311,,,
2961135,ISE,C1,208,209,,,
2961135,ISE,C2,108,109,,,
2961135,ISE,D,208,209,,,
2961135,ISE,D1,310,311,,,
2961135,ISE,D2,210,211,,,
2961135,ISE,D3,410,411,,,
2961131,MC,A,108,109,,,
2961131,MC,A1,310,311,,,
2961131,MC,A2,410,411,,,
2961131,MC,A3,110,111,,,
2961131,MC,B,210,211,,,
2961131,MC,B1,408,409,,,
2961131,MC,B2,308,309,,,
2961131,MC,B3,508,509,,,
2961131,MC,C,510,511,,,
2961131,MC,C1,409,410,,,
2961131,MC,C2,308,309,,,
2961134,FR,A,208,209,,,
2961134,FR,A1,210,211,,,
2961134,FR,A2,110,111,,,
2961134,FR,A3,510,511,,,
2961134,FR,B,510,511,,,
2961134,FR,B1,308,309,,,
2961134,FR,B2,208,209,,,
2961134,FR,B3,108,109,,,
2961134,FR,C,210,211,,,
2961134,FR,C1,508,509,,,
2961134,FR,C2,408,409,,,
2961134,FR,D,308,309,,,
2961134,FR,D1,410,411,,,
2961134,FR,D2,310,311,,,
2961133,IG,A,308,309,,,
2961133,IG,A1,510,511,,,
2961133,IG,A2,310,311,,,
2961133,IG,A3,410,411,,,
2961133,IG,B,310,311,,,
2961133,IG,B1,108,109,,,
2961133,IG,B2,409,410,,,
2961133,IG,B3,208,209,,,
2961133,IG,C,110,111,,,
2961133,IG,C1,108,109,,,
2961133,IG,C2,508,509,,,
2961133,IG,D,408,409,,,
2961133,IG,D1,210,211,,,
2961133,IG,D2,410,411,,,
2961132,DDSI,A,409,,,,
2961132,DDSI,A1,110,111,112,,
2961132,DDSI,A2,510,511,512,,
2961132,DDSI,A3,210,211,412,,
2961132,DDSI,B,411,,,,
2961132,DDSI,B1,410,508,509,,
2961132,DDSI,B2,108,109,408,,
2961132,DDSI,B3,308,309,412,,
2961132,DDSI,C,411,,,,
2961132,DDSI,C1,308,309,408,,
2961132,DDSI,C2,208,209,410,,
296114H,CPD,A,503,504,,,
296114H,CPD,A1,505,506,,,
296114G,TR,A,501,502,,,
296114G,TR,A1,401,402,,,
296114I,SE,A,403,404,,,
296114I,SE,A1,405,406,,,
29611CB,II,A,204,205,,,
29611CB,II,A1,202,203,,,
29611CD,TE,A,304,305,,,
29611CD,TE,A1,302,303,,,
296114F,DBA,A,405,406,,,
296114F,DBA,A1,505,506,,,
296114F,DBA,A2,403,404,,,
296114F,DBA,A3,503,504,,,
296113G,DGP,A,501,502,,,
296113G,DGP,A1,503,504,,,
296113G,DGP,A2,505,506,,,
296113G,DGP,A3,403,404,,,
296113G,DGP,A4,503,504,,,
296114D,MDA,A,401,402,,,
296114D,MDA,A1,403,404,,,
296114D,MDA,A2,503,504,,,
296114D,MDA,A3,505,506,,,
29611BB,PGV,A,204,205,,,
29611BB,PGV,A1,202,203,,,
29611BA,LP,A,104,105,,,
29611BA,LP,A1,102,103,,,
29611BF,SSO,A,304,305,,,
29611BF,SSO,A1,302,303,,,
296114A,PL,A,401,402,,,
296114A,PL,A1,501,502,,,
296114A,PL,A2,505,506,,,
296114A,PL,A3,403,404,,,
296114B,VC,A,405,406,,,
296114B,VC,A1,403,404,,,
296114B,VC,A2,501,502,,,
296114B,VC,A3,505,506,,,
296114C,NPI,A,503,504,,,
296114C,NPI,A1,505,506,,,
296114C,NPI,A2,403,404,,,
296114C,NPI,A3,501,502,,,
29611AA,TIC,A,102,103,,,
29611AA,TIC,A1,302,303,,,
29611AD,PTC,A,202,203,,,
29611AD,PTC,A1,104,105,,,
29611AE,SS,A,304,305,,,
29611AE,SS,A1,204,205,,,
296114J,RI,A,403,404,,,
296114J,RI,A1,505,506,,,
296114J,RI,A2,401,402,,,
296114K,IN,A,503,504,,,
296114K,IN,A1,501,502,,,
296114K,IN,A2,501,502,,,
296114L,BDD,A,405,406,,,
296114L,BDD,A1,401,402,,,
296114L,BDD,A2,505,506,,,
29611DA,SIG,A,304,305,,,
29611DA,SIG,A1,302,303,,,
29611DC,GRD,A,104,105,,,
29611DC,GRD,A1,102,103,,,
29611DE,RSC,A,204,205,,,
29611DE,RSC,A1,202,203,,,
296114N,IV,A,505,506,,,
296114N,IV,A1,401,402,,,
296114N,IV,A2,405,406,,,
296114P,SPSI,A,501,502,,,
296114P,SPSI,A1,405,406,,,
296114P,SPSI,A2,503,504,,,
296114M,DAI,A,403,404,,,
296114M,DAI,A1,503,504,,,
296114M,DAI,A2,401,402,,,
296114M,DAI,A3,405,406,,,
29611FA,TID,A,104,105,,,
29611FA,TID,A1,102,103,,,
29611FC,CRIM,A,204,205,,,
29611FC,CRIM,A1,202,203,,,
297111C,TOC(M),A,410,411,,,
297111C,TOC(M),A1,308,309,,,
297111C,TOC(M),A2,408,409,,,
2971112,FP(M),A,311,511,,,
2971112,FP(M),A1,508,509,,,
2971112,FP(M),A2,308,309,,,
2971114,FFT(M),A,310,510,,,
2971114,FFT(M),A1,408,409,,,
2971114,FFT(M),A2,508,509,,,
2971114,FFT(M),A3,308,309,,,
2971123,EC(M),A,103,202,,,
2971123,EC(M),A1,104,105,,,
2971123,EC(M),A2,205,206,,,
2971124,ED(M),A,101,102,201,,
2971124,ED(M),A1,106,,,,
2971124,ED(M),A2,104,,,,
2971125,SO(M),A,203,204,,,
2971125,SO(M),A1,205,206,,,
2971125,SO(M),A2,105,106,,,
297113B,SCD(MA),A,510,511,,,
297113B,SCD(MA),A1,512,513,,,
297113B,SCD(MA),A2,308,309,,,
297113B,SCD(MA),A3,408,409,,,
2971133,FR(MA),A,410,411,,,
2971133,FR(MA),A1,412,413,,,
2971133,FR(MA),A2,312,313,,,
2971133,FR(MA),A3,512,513,,,
2971131,FBD(M),A,509,,,,
2971131,FBD(M),A1,508,408,409,,
2971131,FBD(M),A2,412,413,512,,
2971135,MC(M),A,310,311,,,
2971135,MC(M),A1,308,309,,,
2971135,MC(M),A2,408,409,,,
2971145,IG(MA),A,104,105,,,
2971145,IG(MA),A1,204,205,,,
2971145,IG(MA),A2,102,103,,,
2971143,DDSI(MA),A,203,,,,
2971143,DDSI(MA),A1,101,102,103,,
2971143,DDSI(MA),A2,202,204,205,,
2161113,CA(A),A,404,502,503,,
2161113,CA(A),A1,504,,,,
2161113,CA(A),A2,506,,,,
2161114,TOC(A),A,304,305,,,
2161114,TOC(A),A1,505,506,,,
2161114,TOC(A),A2,405,406,,,
2161115,FP(A),A,403,501,,,
2161115,FP(A),A1,401,402,,,
2161115,FP(A),A2,504,505,,,
2161116,FFT(A),A,302,303,,,
2161116,FFT(A),A1,405,406,,,
2161116,FFT(A),A2,401,402,,,
2161116,FFT(A),A3,504,505,,,
2161126,EC(A),A,204,205,,,
2161126,EC(A),A1,202,203,,,
2161126,EC(A),A2,101,102,,,
2161125,ED(A),A,105,106,206,,
2161125,ED(A),A1,201,,,,
2161125,ED(A),A2,203,,,,
2161127,SO(A),A,103,104,,,
2161127,SO(A),A1,101,102,,,
2161127,SO(A),A2,201,202,,,
2161136,PDOO(A),A,310,311,,,
2161136,PDOO(A),A1,308,309,,,
2161136,PDOO(A),A2,508,509,,,
2161146,MC(A),A,304,305,,,
2161146,MC(A),A1,302,303,,,
2211111,AM,A,202,302,303,,
2211111,AM,A1,404,405,,,
2211111,AM,A2,504,505,,,
2211111,AM,A3,304,305,,,
2211111,AM,B,210,211,409,,
2211111,AM,B1,410,411,,,
2211111,AM,B2,510,511,,,
2211112,AL,A,102,103,402,,
2211112,AL,A1,404,405,,,
2211112,AL,A2,504,505,,,
2211112,AL,A3,304,305,,,
2211112,AL,B,208,209,408,,
2211112,AL,B1,410,411,,,
2211112,AL,B2,510,511,,,
2211112,AL,B3,310,311,,,
2211113,AC,A,204,205,,,
2211113,AC,A1,304,305,,,
2211113,AC,A2,404,405,,,
2211113,AC,A3,504,505,,,
2211113,AC,B,110,111,,,
2211113,AC,B1,310,311,,,
2211113,AC,B2,410,411,,,
2211113,AC,B3,510,511,,,
2211114,FI,A,203,403,,,
2211114,FI,A1,504,505,,,
2211114,FI,A2,304,305,,,
2211114,FI,A3,404,405,,,
2211114,FI,B,308,309,,,
2211114,FI,B1,510,511,,,
2211114,FI,B2,310,311,,,
2211115,IES,A,502,503,,,
2211115,IES,A1,104,105,,,
2211115,IES,A2,104,105,,,
2211115,IES,A3,104,105,,,
2211115,IES,B,108,109,,,
2211115,IES,B1,508,509,,,
2211115,IES,B2,508,509,,,
2211121,TC,A,504,505,,,
2211121,TC,A1,302,303,,,
2211121,TC,A2,402,403,,,
2211121,TC,A3,202,203,,,
2211121,TC,B,508,509,,,
2211121,TC,B1,110,111,,,
2211121,TC,B2,410,411,,,
2211122,TO,A,104,105,304,305,
2211122,TO,A1,501,502,,,
2211122,TO,A2,302,303,,,
2211122,TO,A3,402,403,,,
2211122,TO,B,108,109,308,309,
2211122,TO,B1,311,312,,,
2211122,TO,B2,210,211,,,
2211123,ST,A,204,503,,,
2211123,ST,A1,202,203,,,
2211123,ST,A2,102,103,,,
2211123,ST,A3,501,502,,,
2211123,ST,B,310,408,,,
2211123,ST,B1,410,411,,,
2211123,ST,B2,311,312,,,
2211124,FPR,A,205,404,405,,
2211124,FPR,A1,101,102,103,,
2211124,FPR,A2,201,202,203,,
2211124,FPR,B,208,209,409,,
2211124,FPR,B1,210,211,212,,
2211124,FPR,B2,110,111,112,,
2211131,C2,A,504,505,,,
2211131,C2,A1,304,305,,,
2211131,C2,A2,102,103,,,
2211131,C2,B,208,209,,,
2211131,C2,B1,310,311,,,
2211131,C2,B2,510,511,,,
2211132,EP,A,302,303,,,
2211132,EP,A1,402,403,,,
2211132,EP,A2,204,205,,,
2211132,EP,B,508,509,,,
2211132,EP,B1,408,409,,,
2211132,EP,B2,110,111,,,
2211133,SED,A,202,203,,,
2211133,SED,A1,502,503,,,
2211133,SED,A2,304,305,,,
2211133,SED,A3,102,103,,,
2211133,SED,B,308,309,,,
2211133,SED,B1,510,511,,,
2211133,SED,B2,210,211,,,
2211134,TDRC,A,104,105,,,
2211134,TDRC,A1,102,103,,,
2211134,TDRC,A2,502,503,,,
2211134,TDRC,B,108,109,,,
2211134,TDRC,B1,110,111,,,
2211134,TDRC,B2,310,311,,,
2211135,SCM,A,404,405,,,
2211135,SCM,A1,204,205,,,
2211135,SCM,A2,402,403,,,
2211135,SCM,B,410,411,,,
2211135,SCM,B1,210,211,,,
2211135,SCM,B2,408,409,,,
2211141,CO,A,303,304,,,
2211141,CO,A1,203,204,,,
2211141,CO,A2,402,403,,,
2211142,CI,A,202,302,,,
2211142,CI,A1,404,405,,,
2211142,CI,A2,203,204,,,
2211143,TRD,A,201,301,,,
2211143,TRD,A1,402,403,,,
2211143,TRD,A2,404,405,,,
2211144,RAC,A,203,204,,,
2211144,RAC,A1,201,202,,,
2211144,RAC,A2,501,502,,,
2211145,RM,A,402,403,,,
2211145,RM,A1,301,302,,,
2211145,RM,A2,303,304,,,
2211146,DDR,A,404,405,,,
2211146,DDR,A1,303,304,,,
2211146,DDR,A2,301,302,,,
2211147,CIC,A,203,204,,,
2211147,CIC,A1,201,202,,,
2211148,SC,A,402,403,,,
2211148,SC,A1,404,405,,,
2211149,EE,A,303,304,,,
2211149,EE,A1,301,302,,,
22111A1,FF,A,305,306,406,,
22111A1,FF,A1,101,102,,,
22111A1,FF,A2,103,104,,,
22111AA,TH,A,205,206,,,
22111AA,TH,A1,505,506,,,
22111BA,LT,A,501,502,,,
22111BA,LT,A1,503,504,,,
22111CA,TCI,A,105,106,,,
22111CA,TCI,A1,103,104,,,
